"행정구역","2025년12월_총인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수","2025년12월_남여 비율"
"서울특별시  (1100000000)","9,299,548","4,501,031","          2.07","4,481,099","4,818,449","          0.93"
"서울특별시 종로구 (1111000000)","137,048","72,324","          1.89","65,668","71,380","          0.92"
"서울특별시 중구 (1114000000)","117,805","63,817","          1.85","56,560","61,245","          0.92"
"서울특별시 용산구 (1117000000)","201,894","102,959","          1.96","96,065","105,829","          0.91"
"서울특별시 성동구 (1120000000)","274,606","133,173","          2.06","132,541","142,065","          0.93"
"서울특별시 광진구 (1121500000)","331,167","171,133","          1.94","158,534","172,633","          0.92"
"서울특별시 동대문구 (1123000000)","346,241","176,684","          1.96","168,825","177,416","          0.95"
"서울특별시 중랑구 (1126000000)","376,916","189,383","          1.99","184,055","192,861","          0.95"
"서울특별시 성북구 (1129000000)","422,559","198,800","          2.13","201,894","220,665","          0.91"
"서울특별시 강북구 (1130500000)","278,928","142,256","          1.96","134,160","144,768","          0.93"
"서울특별시 도봉구 (1132000000)","299,899","139,018","          2.16","144,726","155,173","          0.93"
"서울특별시 노원구 (1135000000)","483,541","216,559","          2.23","231,254","252,287","          0.92"
"서울특별시 은평구 (1138000000)","455,137","214,276","          2.12","215,160","239,977","          0.90"
"서울특별시 서대문구 (1141000000)","300,147","146,113","          2.05","141,821","158,326","          0.90"
"서울특별시 마포구 (1144000000)","357,616","180,260","          1.98","165,919","191,697","          0.87"
"서울특별시 양천구 (1147000000)","425,088","179,514","          2.37","206,865","218,223","          0.95"
"서울특별시 강서구 (1150000000)","549,711","273,604","          2.01","262,638","287,073","          0.91"
"서울특별시 구로구 (1153000000)","383,829","184,270","          2.08","187,514","196,315","          0.96"
"서울특별시 금천구 (1154500000)","223,290","121,572","          1.84","112,131","111,159","          1.01"
"서울특별시 영등포구 (1156000000)","371,362","192,407","          1.93","181,236","190,126","          0.95"
"서울특별시 동작구 (1159000000)","371,924","186,834","          1.99","179,470","192,454","          0.93"
"서울특별시 관악구 (1162000000)","477,605","288,778","          1.65","240,209","237,396","          1.01"
"서울특별시 서초구 (1165000000)","414,428","173,506","          2.39","196,924","217,504","          0.91"
"서울특별시 강남구 (1168000000)","556,330","245,264","          2.27","265,804","290,526","          0.91"
"서울특별시 송파구 (1171000000)","643,350","285,903","          2.25","307,898","335,452","          0.92"
"서울특별시 강동구 (1174000000)","499,127","222,624","          2.24","243,228","255,899","          0.95"
"부산광역시  (2600000000)","3,241,600","1,573,996","          2.06","1,575,600","1,666,000","          0.95"
"부산광역시 중구 (2611000000)","36,518","23,261","          1.57","17,665","18,853","          0.94"
"부산광역시 서구 (2614000000)","101,892","53,445","          1.91","48,825","53,067","          0.92"
"부산광역시 동구 (2617000000)","83,851","46,249","          1.81","40,685","43,166","          0.94"
"부산광역시 영도구 (2620000000)","101,580","53,292","          1.91","49,805","51,775","          0.96"
"부산광역시 부산진구 (2623000000)","365,378","188,730","          1.94","174,723","190,655","          0.92"
"부산광역시 동래구 (2626000000)","273,277","122,770","          2.23","131,538","141,739","          0.93"
"부산광역시 남구 (2629000000)","250,668","118,826","          2.11","121,574","129,094","          0.94"
"부산광역시 북구 (2632000000)","262,862","121,936","          2.16","128,773","134,089","          0.96"
"부산광역시 해운대구 (2635000000)","372,604","169,635","          2.20","178,330","194,274","          0.92"
"부산광역시 사하구 (2638000000)","286,222","139,728","          2.05","141,867","144,355","          0.98"
"부산광역시 금정구 (2641000000)","206,588","104,548","          1.98","100,441","106,147","          0.95"
